QE,QK,AE,AK,Keywords
"IAE Eduhouse","IAE Eduhouse 유학원 주소가 어떻게 됩니까?",,"서울특별시 강남구 테헤란로 120(역삼동 824-20) 상경빌딩 5층",
study abroad,유학을 가려는데 정보를 알려주셔요.,,유학 신청과정은 아래의 웹에 자세히 나와 있습니다.: http://www.eduhouse.net/talk/talk_guide_univ.asp,
abroad,유학을 가려고 하는데 뭐부터 시작할까요?,,유학 신청과정은 아래의 웹에 자세히 나와 있습니다.: http://www.eduhouse.net/talk/talk_guide_univ.asp,
application deadline,유학 신청마감,,유학 신청과정은 아래의 웹에 자세히 나와 있습니다.: http://www.eduhouse.net/talk/talk_guide_univ.asp,
english,외국의 대학에 가려고 하는데 영어점수가 얼마나 되어야 합니까?,,"호주의 대학에 가려면, IELTS 평균 6.5 이상이 되어야 합니다. 그리고 모든 과목이 6.0이상이 되어야 합니다.",
ielts,IELTS 영어점수는 얼마나 나와야 하나요?,,"호주의 대학에 가려면, IELTS 평균 6.5 이상이 되어야 합니다. 그리고 모든 과목이 6.0이상이 되어야 합니다.",
toefl,"토플 영어점수",,"호주의 대학에 가려면, IELTS 평균 6.5 이상이 되어야 합니다. 그리고 모든 과목이 6.0이상이 되어야 합니다.",
toefl for admission,호주 대학교에 입학지원을 하려면 반드시 TOEFL 시험 점수가 있어야 하나요?,,"호주에서는 TOEFL 시험보다는 IELTS 시험이 더 많이 사용되고 일반적입니다. TOEFL 시험과는 다르게 IELTS 시험은 IELTS Academic과 IELTS General 두 가지가 있으며 대학에 지원할 때는 IELTS Academic 시험을 봐야 합니다. 그러나 모든 대학에서는 IELTS 시험과 함께 TOEFL 시험, Cambridge 시험, PTE 시험 등 다양한 공식 영어시험들도 인정하고 있습니다.",
toefl,호주 대학교 꼭 반드시 TOEFL,,"호주에서는 TOEFL 시험보다는 IELTS 시험이 더 많이 사용되고 일반적입니다. TOEFL 시험과는 다르게 IELTS 시험은 IELTS Academic과 IELTS General 두 가지가 있으며 대학에 지원할 때는 IELTS Academic 시험을 봐야 합니다. 그러나 모든 대학에서는 IELTS 시험과 함께 TOEFL 시험, Cambridge 시험, PTE 시험 등 다양한 공식 영어시험들도 인정하고 있습니다.",
without english,IELTS TOEFL 같은 공식 영어시험 점수 없이 대학에 입학할 수 있는 방법은 없나요?,,만약 현재 본인이 충분한 영어실력이 있다면 가장 좋은 방법은 IELTS나 TOEFL과 같은 공식 영어시험에 응시하여 점수를 취득하는 것이 가장 좋습니다. 그러나 현재 영어실력이 부족하다면 진학하고자 하는 대학 내 대학부설 영어과정이나 해당 대학과 연계되어 있는 사설 영어교육기관에서 영어연수과정을 수강한 후 대학으로 진학할 수 있습니다. 이 경우 대학입학을 위해 정해진 레벨을 마치면 IELTS나 TOEF과 같은 공식 영어시험 제출 없이 진학할 수 있습니다.,
lower engish,IELTS나 TOEFL 같은 공식 영어성적이 낮아도 대학에 입학할 수 있나요?,,만약 현재 본인이 충분한 영어실력이 있다면 가장 좋은 방법은 IELTS나 TOEFL과 같은 공식 영어시험에 응시하여 점수를 취득하는 것이 가장 좋습니다. 그러나 현재 영어실력이 부족하다면 진학하고자 하는 대학 내 대학부설 영어과정이나 해당 대학과 연계되어 있는 사설 영어교육기관에서 영어연수과정을 수강한 후 대학으로 진학할 수 있습니다. 이 경우 대학입학을 위해 정해진 레벨을 마치면 IELTS나 TOEF과 같은 공식 영어시험 제출 없이 진학할 수 있습니다.,
